ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
91,Sales Inventory,"Properties owned by Urban Renewal, Landbank, and Metro that are managed by VPPA sales team.  Used frequently by sales team to prioritize and strategize dispositions.",Sharepoint,Develop Louisville,Vacant And Public Property Administration,Joshua Watkins,Abbey Rogers,Internal,Csv File,Daily,Spans back to 1930s,Citywide,Street address;#Parcel (block/lot),https://data.louisvilleky.gov/dataset/property-available-purchase
92,Metro-Owned Property,​List of all properties (and their attributes) owned or managed by various divisions of Metro Louisville.,Sharepoint,Develop Louisville,Vacant And Public Property Administration,Connie Sutton,Abbey Rogers,Internal,Csv File,Daily,"Properties span back to early 1900s, list is continuously updated and modified",Citywide,Street address;#Parcel (block/lot);#Not applicable,No link available
93,Public Art Collection,"Public art collection information, including artist, location, type, and date acquired.",Pastperfect,Develop Louisville,Public Art,Sarah Lindgren,Not listed,Internal,Unknown,Continuous,Unknown,Citywide,Latitude/longitude,No link available
94,Advanced Planning Project Tracker,​Summary of active projects for which AP staff is either lead or assist.,Unknown,Develop Louisville,Advanced Planning,Claire Yates,Not listed,Internal,Excel Spread Sheets,Continuous,Unknown,Citywide,Neighborhood,No link available
95,Neighborhood Plans,​PDF files and/or hard copies of neighborhood plans,Unknown,Develop Louisville,Advanced Planning,Ken Baker,Not listed,Public,Unknown,Yearly,Unknown,Citywide,Neighborhood,No link available
96,Dockless Vehicle Data,Origin and destination data from dockless mobility companies including origin and destination information for scooter rides.,Unknown,Develop Louisville,Advanced Planning,Michael Schnuerle,Michael Schnuerle,Sensitive,Mysql,Monthly,August 2018 to now,Citywide,Latitude/longitude,Dockless Vehicles
97,Ambient Air Quality Measurements,"​Measurements of levels of air pollutants, meteorological parameters, and internal instrument health parameters. Some data is in the form of hourly averages. Other data is in the form of 24-hour averages (filter-based particulate sampling). For the pollutants reported in 1-hour averages, raw 1-minute average data is used in the QA process but not reported to the EPA. For the hourly data, both raw data and quality-assured data are stored (as different fields on the same record).",Airvision,Econ Growth & Innovation-Apcd,Air Monitoring,Billy DeWitt,Bryan Paris,Internal,Sql Database (Stand Alone),Continuous,Unknown,Citywide,Latitude/longitude;#Street address,https://www.epa.gov/outdoor-air-quality-data
98,APCD Industrial Operating Permits,"​Permits to operate issued to the operators of industrial facilities in Louisville/Jefferson County. There is one permit per facility site (""plant""), so one company may have multiple operating permits. A facility site can range in size from a dry cleaner or aut body shop to a large power plant or chemical plant. The plant class indicates the level of potential emissions, which roughly corresponds to the size of the facility site.",Hansen 8,Econ Growth & Innovation-Apcd,Industrial Permitting; Compiance And Enforcement,Matt King,Bryan Frazar,Public,Oracle Database,Continuous,Unknown,Citywide,Latitude/longitude;#Street address,https://data.louisvilleky.gov/dataset/industrial-operating-permits
99,APCD Industrial Construction Permits,"​Permits to construct, modify, or decommission equipment that generates or controls air pollution emissions in Louisville/Jefferson County.",Hansen 8,Econ Growth & Innovation-Apcd,Industrial Permitting,Matt King,Bryan Frazar,Public,Oracle Database,Continuous,Unknown,Citywide,Latitude/longitude;#Street address,https://data.louisvilleky.gov/dataset/industrial-construction-permits
100,APCD Gasoline Dispensing Operating Permits,"​Permits to operate gasoline dispensing facilities (gas stations and fleet fueling stations) in Louisville/Jefferson County. Each permit is for one facility, so one company can have many permits.",Hansen 8,Econ Growth & Innovation-Apcd,Compliance And Enforcement,Steven Gravatte,Bryan Frazar,Public,Oracle Database,Continuous,Unknown,Citywide,Latitude/longitude;#Street address,https://data.louisvilleky.gov/dataset/gasoline-dispensing-operating-permits
